key,secs,best_iter,dev_ic,promo_ic,dev_sharpe,promo_sharpe
28,330.0,54,0.0724451666193146,0.0718212395570527,7.154189100684732,7.123785874096933
29,222.9,54,0.07459623023624541,0.07338945556956819,7.0841599867671015,5.973048849082859
30,232.8,21,0.06860377261662702,0.06981987882540347,6.839395699525784,6.479135509295341
31,296.2,49,0.0713711089661509,0.07677460418985077,7.624982686396401,6.975193603968922
32,232.1,22,0.06982018660629705,0.0711835856349044,6.955189384641661,6.777557199245423
33,258.5,62,0.07355363160941686,0.07189171915235981,6.720321429183087,6.823156130765614
34,245.9,10,0.06970702135655332,0.07142546168537554,6.576265890938382,5.959677810637591
35,377.5,25,0.07040611206428793,0.07189475876568341,7.222370170348031,7.07433897116208
36,292.7,38,0.07175457120187156,0.07684708113997003,7.809681346119161,6.804482415908162
37,215.3,19,0.06887789128011972,0.0756664821846103,6.46761134444238,6.362992675909015
38,204.2,23,0.06783394495649725,0.07426425646061754,6.222955517441845,6.391936736654734
39,233.1,26,0.07033363610608943,0.07514195953559741,6.973937670028471,6.716456302807812
40,243.2,20,0.07125872366994755,0.07454836905815737,7.567228194336665,6.585252745103614
41,206.2,8,0.06020643125891454,0.06007052810409854,6.522503181533795,4.643614173744651
42,285.4,71,0.07686928546194102,0.07424725967202878,7.974543483288127,6.5711535819904405
43,292.0,38,0.06911668160493079,0.0730015883260563,6.6780991649746815,6.116967913862133
44,225.5,19,0.0730192842982484,0.06962529985624111,7.073236291726947,5.775476123471413
45,265.3,52,0.07146561436551681,0.07432636674524919,7.459493868518376,6.037931546436967
46,360.0,49,0.07451015857692234,0.07137566189715079,7.256228274078607,6.108201183284394
47,251.6,16,0.06785782684830305,0.0710084282093238,6.838209968544228,6.795598250557045
48,290.2,40,0.07344166275676316,0.07566093600360384,7.441077975122444,6.855390872088654
49,214.7,32,0.07351877361017316,0.07355395689549012,6.376067352046071,6.088745015114372
50,210.6,22,0.06952595426729578,0.07167587668139024,6.070462706383384,5.930212602651172
51,262.9,16,0.0686045335493825,0.06892843959067257,6.134251259447483,5.755431375041484
52,201.5,23,0.07224857331627775,0.07334855096728159,7.418790981397856,5.541645757402238
53,230.5,26,0.06874450763332363,0.0722099057826589,6.794725463849089,5.800214310952949
54,257.1,33,0.07330347163451326,0.0717134137019568,6.258015705031669,5.878391372893872
55,221.1,26,0.07065365815910037,0.0742564254780809,6.519034995884062,6.188380385207718
56,285.1,33,0.06961788444876625,0.07480046592073374,7.302109492296405,6.594602060562371
57,278.1,46,0.06996300137564458,0.07368921537168999,7.47965344029129,5.946919750297668
58,312.4,30,0.06943443065261158,0.07366636798436237,7.572374713439278,7.064678891912747
59,214.8,22,0.07267121393117301,0.0738607353701034,7.342404829480784,7.094449261460932
60,190.8,11,0.07000652336709642,0.07020519033377097,6.342899060869969,6.371957751175113
61,268.5,22,0.06983923653186073,0.06852929971820751,6.902616151415864,5.980616576986521
62,280.6,14,0.06932764802228293,0.07212630314296055,7.1526598597583355,7.124141568293295
63,255.2,24,0.072924352232705,0.06811148223679231,7.29661315100551,6.10696683208226
64,298.1,41,0.07019423884961296,0.07151258237887373,6.8436956949758505,6.043066885340505
65,259.6,12,0.06759269509245945,0.06399753205908734,6.849877106413681,5.593743182739216
66,237.1,34,0.0685058591933213,0.07154189485052641,6.6756994079901,6.241197475439305
67,267.7,9,0.06859296950911671,0.0645590728563435,6.601317490950518,4.98030964479568
