cand,best_iter,hit_cap,secs,learning_rate,num_leaves,max_depth,colsample_bytree,subsample,lambda_l1,lambda_l2,min_data_in_leaf,bagging_freq,seed,dev_ic,promo_ic
101,45,0,379.9,0.2162470284138642,138,10,0.7451371810485884,0.8892991327885136,297.30732024949407,294.1714565679244,21,1,195475,0.07277462082615375,0.07059650329998197
102,40,0,366.6,0.19953505672760344,271,10,0.9006034259153191,0.8674031069450104,292.3907809922297,559.8412551977177,34,1,662761,0.071102344426642,0.06882145281543685
103,52,0,410.1,0.11773137430318659,140,10,0.9764626059142361,0.9481986672641118,284.370268785428,398.2853538186622,13,1,96937,0.07368359417554583,0.07573857167905851
104,41,0,346.0,0.18836309483981828,214,6,0.8506207323831534,0.8916715124371952,187.9466678787143,552.0654509839367,18,1,665602,0.072049327077516,0.07797713041600568
105,57,0,409.4,0.16191506016630042,243,10,0.8557734103695056,0.9712222483419644,235.588022999059,389.8251556768704,16,1,410154,0.07355598173721227,0.07522533478357601
106,25,0,371.4,0.17738647504823224,222,9,0.9156639192511221,0.7783980895793354,162.76030600708242,601.6102542819758,30,1,465156,0.07124775745057682,0.07271040669428262
107,11,0,295.7,0.2743357563136765,237,8,0.8767747012334584,0.813619159042684,208.07968613228897,961.3267319741514,11,1,857073,0.0713908231355775,0.07124636936094618
108,34,0,320.4,0.21374082994856028,189,8,0.865788724130018,0.8875339098920312,283.6446302102571,651.6213028294983,21,1,204346,0.07235808074969667,0.07331002141329888
109,22,0,323.8,0.15783721234807946,249,8,0.9518085643678252,0.9159926391227845,199.54567498424495,683.7359710233527,18,1,592461,0.07207130501063015,0.07383515090613896
110,17,0,276.0,0.23664407840068252,272,7,0.8222796513801571,0.8241939979393001,275.148752127188,526.9401777520659,11,1,919020,0.06854942478142909,0.06967265404449256
111,21,0,195.0,0.27041476519581065,213,7,0.7544894305043843,0.780475729617096,376.7487020620735,366.40419390309796,15,1,369455,0.0689580279983713,0.067205647864265
112,34,0,310.8,0.20484427866686136,203,7,0.8799414122791103,0.7678183215179929,155.60037915713716,402.02280763265327,25,1,294804,0.06812655952785918,0.07312335268843173
113,17,0,281.5,0.25949547488103414,217,9,0.9049393020821983,0.8601814892498217,274.807166171231,534.9027866002625,25,1,30144,0.06684158729810043,0.06818732693226245
114,35,0,281.9,0.23680873971557503,198,8,0.8618972427447665,0.8459540047153321,318.6756781398343,465.9254593285176,22,1,610862,0.07212448212786689,0.07068875482612257
115,42,0,238.3,0.20304441749598656,257,6,0.9182327835217685,0.7269610726419984,301.23413170652555,699.0845920123695,16,1,99608,0.07203917671576004,0.07141684385632074
116,32,0,231.1,0.1900885902808979,192,6,0.9938587689715335,0.8218223442299512,200.29978414440717,716.2299803171762,14,1,849603,0.07564725483616445,0.06864075895559862
117,56,0,246.0,0.1357461894102296,234,6,0.918463308129488,0.9109508566257607,147.9248031211987,641.7128525941449,12,1,895838,0.07523618225502739,0.0728278448762324
118,38,0,238.5,0.25656495828426434,225,6,1.0,0.9297474711028662,289.37224555378003,441.0786909089788,20,1,222151,0.07086349588392875,0.07004523639592151
119,54,0,227.1,0.1557127888224102,209,6,0.84942149217053,0.8471326296027919,189.33843719672467,456.96970002733786,16,1,425650,0.0734573778687359,0.07411104983090003
120,30,0,210.6,0.18575303207154756,181,6,0.8993355939425419,0.849038372748107,188.19538403640797,309.707203287907,12,1,223980,0.0714732404798155,0.07047933213819678
121,18,0,198.0,0.2551223525438883,238,7,0.7856490986446281,0.8498859154124325,177.24338228035805,603.8407295969776,19,1,788675,0.06965691836123206,0.06832373559219009
122,68,0,222.7,0.14055830076460543,250,6,0.7954674704270674,0.9105254157252338,205.95620589143783,387.89930464641316,50,1,745671,0.07516242374973492,0.07417152840906743
123,14,0,183.7,0.25090157588922096,192,10,0.7652544222626151,1.0,326.4143859546053,728.9928870127709,14,1,113363,0.06944957567318998,0.06637615375993837
124,30,0,198.4,0.17415426997513833,280,9,0.8695975100258169,0.8871389939744638,227.3883823126755,680.9511479547593,29,1,88634,0.07316551344113992,0.07257166170265503
125,25,0,191.4,0.18242013733502216,124,9,0.8995564526039629,0.9658735582443869,161.40959396786783,1044.8789626181592,18,1,242847,0.07135134284271825,0.07441444470171939
126,35,0,187.5,0.1896850176832729,202,8,0.9058109996280141,0.864212503892172,240.09888354558245,364.8344083392723,20,1,624050,0.07013513647096464,0.0745960316875661
127,61,0,175.9,0.19221855428850915,313,6,0.8641783146408845,1.0,278.66955844041433,566.8322504117987,34,1,992273,0.07494098884277625,0.07280038647341074
